epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.06931,1.84395,4.90305,0.88811,7e-05,0.00455,4e-05,3e-05,1.36231,4.39381,0.83653,0.000218058,0.000218058,0.000218058
2,11.6975,1.70331,3.83383,0.87659,0.61873,0.03573,0.04032,0.02233,1.49951,3.41162,0.83724,0.000436031,0.000436031,0.000436031
3,16.1631,1.71356,3.13847,0.87086,0.28326,0.13229,0.1147,0.05918,1.434,2.48597,0.86095,0.000649602,0.000649602,0.000649602
4,20.6911,1.62982,2.72128,0.8767,0.28251,0.39077,0.1486,0.09699,1.25651,2.35695,0.86545,0.00064719,0.00064719,0.00064719
5,25.4062,1.58061,2.49478,0.87283,0.31621,0.25261,0.20367,0.13304,1.28914,2.09854,0.86662,0.000640587,0.000640587,0.000640587
6,30.0079,1.61374,2.42227,0.88152,0.32554,0.39564,0.31181,0.21111,1.16573,1.85055,0.84947,0.000633983,0.000633983,0.000633983
7,34.6533,1.50848,2.22267,0.86005,0.38435,0.36429,0.34448,0.20932,1.15707,1.74587,0.85268,0.00062738,0.00062738,0.00062738
8,39.376,1.50841,2.10689,0.86841,0.43799,0.3372,0.34407,0.21719,1.17107,1.66976,0.85311,0.000620777,0.000620777,0.000620777
9,45.564,1.44501,1.97397,0.86257,0.4885,0.33689,0.3827,0.21637,1.2507,1.70256,0.85633,0.000614174,0.000614174,0.000614174
10,50.3481,1.47201,1.93993,0.8625,0.4,0.42237,0.35339,0.20983,1.22728,1.56219,0.85541,0.00060757,0.00060757,0.00060757
11,55.0998,1.47838,1.81652,0.85264,0.52207,0.42586,0.43991,0.24332,1.27057,1.458,0.85981,0.000600967,0.000600967,0.000600967
12,59.9219,1.53251,1.80441,0.85058,0.53483,0.5517,0.50332,0.30912,1.16156,1.35269,0.85238,0.000594364,0.000594364,0.000594364
13,64.7133,1.44636,1.69888,0.85132,0.54204,0.5261,0.4835,0.30718,1.1905,1.34935,0.86487,0.00058776,0.00058776,0.00058776
14,69.7041,1.42272,1.65679,0.85099,0.5891,0.60878,0.5497,0.36653,1.10195,1.26955,0.85272,0.000581157,0.000581157,0.000581157
15,74.4841,1.32144,1.53815,0.84237,0.7084,0.60663,0.59558,0.38754,1.13429,1.17958,0.85365,0.000574554,0.000574554,0.000574554
16,79.2816,1.34969,1.45601,0.84871,0.6178,0.6331,0.64627,0.43108,1.05851,1.11573,0.84757,0.00056795,0.00056795,0.00056795
17,84.1373,1.38417,1.3974,0.84714,0.67209,0.5909,0.62424,0.33262,1.35275,1.13649,0.86832,0.000561347,0.000561347,0.000561347
18,89.0798,1.36528,1.39956,0.85563,0.78338,0.66266,0.67923,0.43586,1.07407,1.04069,0.85125,0.000554744,0.000554744,0.000554744
19,93.9603,1.28945,1.35201,0.82896,0.8057,0.65348,0.70761,0.45924,1.05314,1.03728,0.84783,0.000548141,0.000548141,0.000548141
20,98.9205,1.23768,1.25098,0.83376,0.78693,0.64795,0.69124,0.42482,1.06899,1.01664,0.84969,0.000541537,0.000541537,0.000541537
21,103.856,1.27079,1.27632,0.84441,0.79899,0.59103,0.64288,0.40437,1.04965,1.03078,0.85073,0.000534934,0.000534934,0.000534934
22,108.822,1.28743,1.22398,0.83656,0.70405,0.71171,0.70903,0.42805,1.10662,1.01953,0.85459,0.000528331,0.000528331,0.000528331
23,113.824,1.26386,1.20419,0.82721,0.81406,0.68116,0.71839,0.44572,1.04468,0.94796,0.85261,0.000521727,0.000521727,0.000521727
24,118.698,1.2566,1.16299,0.83105,0.89892,0.66062,0.75869,0.4934,1.04471,0.959,0.85501,0.000515124,0.000515124,0.000515124
25,123.671,1.2394,1.14671,0.83278,0.83229,0.71457,0.75411,0.42525,1.07195,0.95721,0.85163,0.000508521,0.000508521,0.000508521
26,128.636,1.21666,1.11992,0.84254,0.81862,0.68811,0.71336,0.46409,1.05193,0.90543,0.85115,0.000501917,0.000501917,0.000501917
27,133.526,1.21399,1.12237,0.82532,0.74347,0.70649,0.77114,0.46994,1.13109,0.87965,0.86078,0.000495314,0.000495314,0.000495314
28,138.538,1.20992,1.07519,0.83404,0.89211,0.59739,0.73665,0.45535,1.09541,0.94545,0.85906,0.000488711,0.000488711,0.000488711
29,143.484,1.29228,1.13743,0.8319,0.87703,0.65739,0.7444,0.49381,1.06018,0.87762,0.85287,0.000482108,0.000482108,0.000482108
30,148.424,1.23048,1.09873,0.83662,0.87434,0.69309,0.77568,0.48856,1.07679,0.87893,0.86237,0.000475504,0.000475504,0.000475504
31,153.419,1.19653,1.07637,0.83387,0.92656,0.64652,0.76857,0.48549,1.05167,0.81674,0.8561,0.000468901,0.000468901,0.000468901
32,158.363,1.17682,1.03079,0.82927,0.90037,0.66054,0.78237,0.49332,1.03263,0.85883,0.85508,0.000462298,0.000462298,0.000462298
33,163.347,1.23793,1.06255,0.84471,0.84378,0.66086,0.76787,0.47922,1.05057,0.82635,0.85791,0.000455694,0.000455694,0.000455694
34,168.381,1.14027,0.9935,0.82478,0.81276,0.69378,0.72595,0.46992,1.05765,0.88967,0.85535,0.000449091,0.000449091,0.000449091
35,173.439,1.14276,0.94616,0.84056,0.76024,0.63382,0.72544,0.45774,1.06362,0.84417,0.85537,0.000442488,0.000442488,0.000442488
36,178.556,1.18496,0.95276,0.83089,0.74604,0.7098,0.75411,0.45416,1.10392,0.81561,0.85453,0.000435884,0.000435884,0.000435884
37,185.638,1.19735,0.96986,0.83417,0.86846,0.69201,0.7847,0.48229,1.05657,0.79784,0.85297,0.000429281,0.000429281,0.000429281
38,194.126,1.14416,0.92838,0.82189,0.82774,0.74581,0.79839,0.52552,0.99896,0.8081,0.849,0.000422678,0.000422678,0.000422678
39,203.222,1.18997,0.96264,0.82699,0.86957,0.70903,0.80372,0.49799,1.04311,0.78064,0.85614,0.000416075,0.000416075,0.000416075
40,213.054,1.16823,0.91732,0.80914,0.8492,0.67438,0.79901,0.51503,0.99567,0.78769,0.85247,0.000409471,0.000409471,0.000409471
41,221.832,1.09859,0.90664,0.81273,0.90234,0.69257,0.79921,0.52285,0.98776,0.78388,0.84907,0.000402868,0.000402868,0.000402868
42,231.176,1.14822,0.94739,0.81106,0.75356,0.76874,0.80203,0.52904,0.97812,0.73606,0.84713,0.000396265,0.000396265,0.000396265
43,239.855,1.09488,0.88024,0.81249,0.86264,0.72319,0.80533,0.52986,0.9943,0.72861,0.8523,0.000389661,0.000389661,0.000389661
44,249.268,1.10916,0.86582,0.81386,0.76071,0.76955,0.81989,0.55323,0.96981,0.72271,0.85549,0.000383058,0.000383058,0.000383058
45,257.787,1.0734,0.86281,0.81473,0.84818,0.75109,0.82406,0.54832,0.97645,0.69732,0.85826,0.000376455,0.000376455,0.000376455
46,266.619,1.06334,0.8622,0.81258,0.82567,0.77889,0.82847,0.53617,1.05172,0.71758,0.88582,0.000369851,0.000369851,0.000369851
47,275.467,1.09696,0.87252,0.81813,0.80241,0.7454,0.80784,0.52524,0.9699,0.77503,0.84783,0.000363248,0.000363248,0.000363248
48,284.34,1.07831,0.84449,0.8181,0.76743,0.75896,0.82581,0.54176,0.98541,0.74538,0.85001,0.000356645,0.000356645,0.000356645
49,290.917,1.02695,0.80846,0.82344,0.71402,0.71102,0.76553,0.49047,1.00121,0.76022,0.85101,0.000350042,0.000350042,0.000350042
50,295.891,1.08118,0.83671,0.81804,0.78144,0.7786,0.81138,0.50989,1.02573,0.74243,0.85114,0.000343438,0.000343438,0.000343438
51,300.738,1.05209,0.84411,0.81546,0.78297,0.77326,0.81444,0.50332,1.04458,0.77144,0.85784,0.000336835,0.000336835,0.000336835
52,305.763,1.07057,0.84437,0.82755,0.71634,0.71386,0.76449,0.49011,1.02196,0.77407,0.85515,0.000330232,0.000330232,0.000330232
53,310.65,1.0727,0.8055,0.81148,0.73883,0.76253,0.78826,0.50263,0.9761,0.71775,0.85215,0.000323628,0.000323628,0.000323628
54,315.556,1.0749,0.80004,0.8115,0.79367,0.77206,0.83433,0.52737,1.0491,0.76556,0.86076,0.000317025,0.000317025,0.000317025
55,320.497,1.08856,0.82268,0.82114,0.78282,0.77188,0.81547,0.54223,0.99427,0.76292,0.85384,0.000310422,0.000310422,0.000310422
56,325.491,1.04836,0.79219,0.81745,0.80436,0.80232,0.86336,0.5541,0.97895,0.74486,0.85315,0.000303818,0.000303818,0.000303818
57,330.55,1.07295,0.81354,0.81364,0.83282,0.78101,0.84078,0.5226,1.0053,0.7656,0.85191,0.000297215,0.000297215,0.000297215
58,335.492,1.03448,0.76706,0.81621,0.84224,0.80327,0.85427,0.57087,0.96847,0.71849,0.85212,0.000290612,0.000290612,0.000290612
59,340.51,1.11971,0.81013,0.81736,0.8181,0.79525,0.85266,0.56352,0.99587,0.70996,0.85547,0.000284009,0.000284009,0.000284009
60,345.561,1.00938,0.75173,0.8114,0.84178,0.80472,0.86055,0.57682,0.95618,0.68027,0.85191,0.000277405,0.000277405,0.000277405
61,350.811,1.02929,0.75477,0.82367,0.84451,0.82947,0.87392,0.56308,0.96396,0.67141,0.85581,0.000270802,0.000270802,0.000270802
62,356.012,1.05966,0.78491,0.79894,0.81481,0.80212,0.83734,0.55684,0.95572,0.69135,0.85689,0.000264199,0.000264199,0.000264199
63,361.259,1.02678,0.7501,0.81348,0.83934,0.82656,0.86999,0.58918,0.9452,0.66485,0.84985,0.000257595,0.000257595,0.000257595
64,366.584,0.98586,0.73891,0.80847,0.83447,0.80031,0.85365,0.57415,0.98798,0.68274,0.85296,0.000250992,0.000250992,0.000250992
65,371.862,0.9733,0.72516,0.81445,0.81998,0.79655,0.85342,0.55881,0.97709,0.66091,0.85187,0.000244389,0.000244389,0.000244389
66,377.38,1.0049,0.71234,0.80842,0.84925,0.77162,0.8373,0.55197,0.99876,0.68075,0.85922,0.000237785,0.000237785,0.000237785
67,382.688,1.02594,0.72199,0.8064,0.88209,0.76863,0.85108,0.5715,0.96802,0.6666,0.85913,0.000231182,0.000231182,0.000231182
68,387.945,0.98152,0.71037,0.81639,0.84162,0.79348,0.86754,0.58667,0.98251,0.68316,0.85737,0.000224579,0.000224579,0.000224579
69,393.064,1.0018,0.70391,0.80959,0.80807,0.81532,0.86214,0.55241,0.98713,0.71124,0.85584,0.000217976,0.000217976,0.000217976
70,398.419,1.01743,0.69915,0.79876,0.86988,0.76985,0.86058,0.52196,1.00442,0.67983,0.8544,0.000211372,0.000211372,0.000211372
71,403.764,1.02541,0.70392,0.80534,0.92382,0.78116,0.87894,0.59233,0.94453,0.66854,0.85367,0.000204769,0.000204769,0.000204769
72,408.999,1.03427,0.70296,0.81133,0.83201,0.80868,0.86346,0.57845,0.95393,0.67192,0.8534,0.000198166,0.000198166,0.000198166
73,414.236,1.00597,0.69581,0.80149,0.855,0.81451,0.85732,0.58407,0.93324,0.65271,0.85732,0.000191562,0.000191562,0.000191562
74,419.473,0.97234,0.71463,0.80798,0.84318,0.82336,0.86209,0.58209,0.95663,0.66944,0.85458,0.000184959,0.000184959,0.000184959
75,424.659,0.95459,0.67825,0.81109,0.8034,0.79157,0.84132,0.56827,0.94186,0.69399,0.84889,0.000178356,0.000178356,0.000178356
76,429.871,0.94841,0.68103,0.80947,0.82872,0.79026,0.85425,0.57863,0.94243,0.70114,0.85129,0.000171752,0.000171752,0.000171752
77,435.009,0.92621,0.69648,0.80955,0.86304,0.80866,0.85703,0.58163,0.93946,0.66865,0.85503,0.000165149,0.000165149,0.000165149
78,440.319,0.97814,0.7134,0.80657,0.81903,0.82948,0.85994,0.57775,0.95069,0.65088,0.8582,0.000158546,0.000158546,0.000158546
79,445.458,0.9556,0.68521,0.80371,0.84395,0.79851,0.85484,0.57152,0.969,0.68021,0.85524,0.000151943,0.000151943,0.000151943
80,450.686,0.97494,0.66973,0.80145,0.85359,0.79864,0.85519,0.57763,0.96109,0.67428,0.85262,0.000145339,0.000145339,0.000145339
81,455.905,0.98407,0.67714,0.80335,0.86413,0.80705,0.88053,0.5921,0.95275,0.66691,0.85356,0.000138736,0.000138736,0.000138736
82,461.115,0.91042,0.64256,0.80686,0.843,0.79143,0.86701,0.5798,0.96683,0.65993,0.8554,0.000132133,0.000132133,0.000132133
83,466.252,0.91577,0.65603,0.79935,0.83372,0.80544,0.86428,0.57683,0.97685,0.64708,0.85819,0.000125529,0.000125529,0.000125529
84,472.913,0.95944,0.6825,0.82049,0.87768,0.78899,0.8784,0.5681,0.97272,0.65519,0.85341,0.000118926,0.000118926,0.000118926
85,478.232,0.92462,0.63928,0.79922,0.90898,0.77135,0.88045,0.56382,0.95427,0.64414,0.85122,0.000112323,0.000112323,0.000112323
86,483.424,0.93976,0.65841,0.80516,0.88129,0.79423,0.8735,0.5762,0.94982,0.67204,0.85531,0.00010572,0.00010572,0.00010572
87,488.514,0.94243,0.65999,0.7958,0.86478,0.80844,0.87153,0.5601,0.97097,0.67893,0.85578,9.91162e-05,9.91162e-05,9.91162e-05
88,493.748,0.92371,0.64069,0.80458,0.8631,0.808,0.87513,0.57287,0.95419,0.66201,0.85369,9.25129e-05,9.25129e-05,9.25129e-05
89,498.847,0.911,0.65918,0.8013,0.88972,0.80321,0.87807,0.58316,0.95078,0.65732,0.85524,8.59096e-05,8.59096e-05,8.59096e-05
90,504.018,0.93096,0.66458,0.80581,0.88547,0.79743,0.87531,0.5828,0.95319,0.65812,0.85527,7.93063e-05,7.93063e-05,7.93063e-05
91,536.62,0.91403,0.69376,0.79916,0.86164,0.81028,0.87569,0.56792,0.9571,0.67373,0.85194,7.2703e-05,7.2703e-05,7.2703e-05
