epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1516,1.95387,4.48052,0.87328,0.01107,0.57204,0.06499,0.0264,2.01088,3.29204,0.81144,0.000220465,0.000220465,0.000220465
2,62.3567,1.78525,2.9673,0.85062,0.3219,0.33907,0.16211,0.08527,1.62446,2.03345,0.81129,0.000438415,0.000438415,0.000438415
3,92.1913,1.67507,2.39446,0.84439,0.42939,0.39905,0.27734,0.16408,1.4391,1.68277,0.80992,0.000651962,0.000651962,0.000651962
4,122.113,1.62578,2.09029,0.86053,0.46958,0.45297,0.41462,0.23308,1.55732,1.38565,0.8225,0.00064719,0.00064719,0.00064719
5,152.006,1.6398,1.82536,0.859,0.56409,0.68606,0.5872,0.3036,1.68298,1.2621,0.81695,0.000640587,0.000640587,0.000640587
6,181.834,1.57435,1.61841,0.84342,0.81354,0.58139,0.66728,0.37927,1.55243,1.03168,0.81668,0.000633983,0.000633983,0.000633983
7,211.902,1.5882,1.50269,0.8412,0.73743,0.67463,0.73628,0.40297,1.52152,0.94384,0.81123,0.00062738,0.00062738,0.00062738
8,241.882,1.54446,1.41845,0.84652,0.88701,0.62611,0.80644,0.45367,1.40865,0.92445,0.80705,0.000620777,0.000620777,0.000620777
9,271.482,1.49414,1.31487,0.83305,0.66559,0.73992,0.78731,0.42718,1.38335,0.91527,0.81307,0.000614174,0.000614174,0.000614174
10,301.047,1.49671,1.2277,0.82798,0.7782,0.74097,0.82301,0.46461,1.47866,0.85863,0.8264,0.00060757,0.00060757,0.00060757
11,330.788,1.49486,1.17748,0.83279,0.91249,0.70995,0.81902,0.50204,1.29018,0.768,0.80977,0.000600967,0.000600967,0.000600967
12,360.697,1.3976,1.10759,0.82788,0.87642,0.73744,0.83184,0.49163,1.32086,0.78705,0.80819,0.000594364,0.000594364,0.000594364
13,390.468,1.37011,1.06961,0.82795,0.89971,0.74181,0.87416,0.49298,1.32475,0.75045,0.80936,0.00058776,0.00058776,0.00058776
14,420.603,1.40729,1.04948,0.82536,0.81147,0.81548,0.87865,0.5048,1.34302,0.73215,0.80243,0.000581157,0.000581157,0.000581157
15,450.8,1.37848,1.01467,0.82666,0.87102,0.79444,0.89485,0.5298,1.25015,0.71121,0.80244,0.000574554,0.000574554,0.000574554
16,480.423,1.36327,0.99145,0.82702,0.90401,0.83013,0.9173,0.57342,1.31659,0.68702,0.80782,0.00056795,0.00056795,0.00056795
17,510.547,1.37383,0.98042,0.82591,0.81993,0.80815,0.90817,0.53299,1.27931,0.68434,0.80998,0.000561347,0.000561347,0.000561347
18,540.404,1.34071,0.94093,0.82092,0.87151,0.82164,0.91472,0.56855,1.31001,0.70414,0.80593,0.000554744,0.000554744,0.000554744
19,570.171,1.29774,0.92851,0.81942,0.88078,0.83807,0.91246,0.56728,1.24782,0.66359,0.8052,0.000548141,0.000548141,0.000548141
20,599.801,1.31755,0.90785,0.81998,0.91087,0.81697,0.9221,0.60045,1.24459,0.6484,0.80396,0.000541537,0.000541537,0.000541537
21,629.701,1.29703,0.89278,0.83135,0.86142,0.84842,0.93323,0.57341,1.29927,0.65021,0.8088,0.000534934,0.000534934,0.000534934
22,660.207,1.31464,0.87048,0.82034,0.87202,0.77623,0.90538,0.59067,1.23188,0.68463,0.80248,0.000528331,0.000528331,0.000528331
23,710.874,1.3082,0.8752,0.82368,0.91211,0.85143,0.93573,0.60308,1.2523,0.64,0.80163,0.000521727,0.000521727,0.000521727
24,766.425,1.33179,0.8582,0.81961,0.84839,0.8875,0.92646,0.58916,1.27198,0.65231,0.80292,0.000515124,0.000515124,0.000515124
25,800.728,1.3224,0.82924,0.81822,0.86066,0.8694,0.92604,0.56602,1.31184,0.6539,0.80036,0.000508521,0.000508521,0.000508521
26,830.061,1.2779,0.81917,0.81314,0.86718,0.882,0.93099,0.56677,1.2686,0.62563,0.80202,0.000501917,0.000501917,0.000501917
27,859.951,1.25542,0.80968,0.81848,0.85777,0.85957,0.93442,0.58613,1.22117,0.63518,0.80203,0.000495314,0.000495314,0.000495314
28,891.377,1.27025,0.786,0.81426,0.81864,0.89715,0.92504,0.57682,1.24198,0.62032,0.80252,0.000488711,0.000488711,0.000488711
29,921.714,1.30033,0.79489,0.82003,0.88479,0.85757,0.93629,0.59418,1.21121,0.60074,0.8005,0.000482108,0.000482108,0.000482108
30,951.231,1.22962,0.753,0.81063,0.95526,0.83909,0.93905,0.58743,1.20695,0.57715,0.80005,0.000475504,0.000475504,0.000475504
31,980.684,1.27794,0.77635,0.82163,0.82696,0.89629,0.89854,0.56025,1.2506,0.62353,0.80559,0.000468901,0.000468901,0.000468901
32,1009.97,1.26995,0.75749,0.8162,0.90952,0.82378,0.93829,0.61357,1.19677,0.60797,0.80825,0.000462298,0.000462298,0.000462298
33,1039.05,1.22803,0.73737,0.81309,0.88014,0.83705,0.92784,0.61989,1.16077,0.58469,0.7961,0.000455694,0.000455694,0.000455694
34,1068.39,1.26061,0.76538,0.8169,0.86484,0.84917,0.89345,0.55006,1.26423,0.62945,0.80172,0.000449091,0.000449091,0.000449091
35,1097.93,1.2286,0.72702,0.81102,0.89805,0.82626,0.94595,0.60527,1.2388,0.58832,0.80027,0.000442488,0.000442488,0.000442488
36,1128.26,1.21855,0.70833,0.81159,0.86845,0.81963,0.85142,0.54736,1.21696,0.59445,0.80245,0.000435884,0.000435884,0.000435884
37,1158.19,1.20579,0.71054,0.81421,0.86409,0.87269,0.89672,0.57877,1.18378,0.5877,0.80219,0.000429281,0.000429281,0.000429281
38,1187.41,1.1983,0.71046,0.81132,0.8215,0.85062,0.8626,0.56369,1.17403,0.63627,0.80318,0.000422678,0.000422678,0.000422678
39,1216.73,1.18627,0.70694,0.8123,0.87107,0.86893,0.89671,0.57071,1.21934,0.57536,0.80088,0.000416075,0.000416075,0.000416075
40,1246.05,1.26793,0.7285,0.81538,0.88254,0.86117,0.88623,0.56707,1.16869,0.55353,0.80088,0.000409471,0.000409471,0.000409471
41,1275.17,1.20386,0.70573,0.81069,0.87931,0.8836,0.87846,0.57026,1.13442,0.54716,0.79615,0.000402868,0.000402868,0.000402868
42,1304.15,1.23066,0.70724,0.81144,0.84384,0.892,0.8863,0.59284,1.11052,0.56186,0.79865,0.000396265,0.000396265,0.000396265
43,1333.11,1.1565,0.6643,0.80335,0.8731,0.8773,0.88031,0.55731,1.1927,0.56376,0.79564,0.000389661,0.000389661,0.000389661
44,1362.76,1.19003,0.69498,0.80728,0.88222,0.85734,0.89332,0.59114,1.12666,0.54826,0.79518,0.000383058,0.000383058,0.000383058
45,1392.31,1.17532,0.68308,0.81091,0.86892,0.89454,0.9114,0.59261,1.13612,0.5543,0.80375,0.000376455,0.000376455,0.000376455
46,1421.42,1.15002,0.65421,0.81056,0.84776,0.86527,0.88809,0.57046,1.19401,0.55415,0.80217,0.000369851,0.000369851,0.000369851
47,1450.64,1.15386,0.64517,0.81118,0.88848,0.87547,0.90492,0.5754,1.1963,0.54956,0.80004,0.000363248,0.000363248,0.000363248
48,1479.79,1.16458,0.65114,0.80571,0.88079,0.89045,0.95248,0.6343,1.11604,0.524,0.79592,0.000356645,0.000356645,0.000356645
49,1508.79,1.1126,0.63202,0.80632,0.89665,0.85764,0.9469,0.62523,1.11559,0.50176,0.7983,0.000350042,0.000350042,0.000350042
50,1538.07,1.17048,0.64446,0.80747,0.85186,0.90604,0.9565,0.63504,1.09859,0.51297,0.7987,0.000343438,0.000343438,0.000343438
51,1567.16,1.12609,0.62975,0.80367,0.87252,0.87303,0.95082,0.63549,1.09671,0.52454,0.79652,0.000336835,0.000336835,0.000336835
52,1596.67,1.13635,0.6312,0.8039,0.87555,0.88445,0.94971,0.62074,1.12016,0.53187,0.80012,0.000330232,0.000330232,0.000330232
53,1626.24,1.18569,0.63948,0.80563,0.84988,0.88425,0.89472,0.55012,1.28861,0.57126,0.7981,0.000323628,0.000323628,0.000323628
54,1655.66,1.1327,0.61801,0.80422,0.87124,0.86534,0.9439,0.60815,1.23463,0.54097,0.79949,0.000317025,0.000317025,0.000317025
55,1684.75,1.08806,0.60538,0.80491,0.88194,0.89109,0.95149,0.64052,1.12322,0.53559,0.80239,0.000310422,0.000310422,0.000310422
56,1714.16,1.10024,0.61917,0.80233,0.90491,0.86838,0.95716,0.64056,1.09017,0.5202,0.79567,0.000303818,0.000303818,0.000303818
57,1743.47,1.08612,0.61251,0.8049,0.85013,0.88377,0.94781,0.63141,1.17338,0.5504,0.79879,0.000297215,0.000297215,0.000297215
58,1772.62,1.08496,0.59985,0.8012,0.85551,0.8952,0.89898,0.60427,1.08168,0.50624,0.79551,0.000290612,0.000290612,0.000290612
59,1801.86,1.10426,0.61437,0.80974,0.8477,0.87811,0.95317,0.63607,1.13481,0.54572,0.79469,0.000284009,0.000284009,0.000284009
60,1831.3,1.0998,0.59884,0.80271,0.87904,0.88165,0.95556,0.64161,1.09943,0.51095,0.79574,0.000277405,0.000277405,0.000277405
