epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4174,1.51993,2.55944,0.92853,0.50471,0.54388,0.48013,0.31399,1.14675,1.02085,0.87405,0.000195473,0.000195473,0.000195473
2,103.497,1.2839,1.12553,0.90688,0.84599,0.75326,0.8077,0.53617,1.12975,0.73812,0.87144,0.000391377,0.000391377,0.000391377
3,164.432,1.20725,0.88248,0.89529,0.88452,0.79837,0.85671,0.54545,1.12781,0.65591,0.87428,0.000586899,0.000586899,0.000586899
4,222.342,1.14113,0.77689,0.88787,0.9321,0.84187,0.89704,0.60587,1.01823,0.56191,0.85969,0.000586708,0.000586708,0.000586708
5,306.148,1.13198,0.72099,0.88754,0.94434,0.858,0.90834,0.63038,0.98108,0.54065,0.85783,0.000585705,0.000585705,0.000585705
6,361.378,1.09787,0.67926,0.88405,0.94074,0.87014,0.91106,0.59901,1.02747,0.53393,0.85769,0.000584417,0.000584417,0.000584417
7,416.86,1.10753,0.65703,0.88158,0.92763,0.89073,0.91849,0.64189,0.98416,0.52326,0.85485,0.000582845,0.000582845,0.000582845
8,474.789,1.09038,0.63485,0.88014,0.94942,0.87289,0.92407,0.66388,0.93781,0.48869,0.85087,0.00058099,0.00058099,0.00058099
9,534.246,1.08168,0.60837,0.87893,0.94536,0.88109,0.92484,0.66078,0.94109,0.48206,0.85188,0.000578856,0.000578856,0.000578856
10,593.598,1.06389,0.59183,0.87769,0.94464,0.89316,0.92807,0.65254,0.94656,0.48328,0.85347,0.000576443,0.000576443,0.000576443
11,652.835,1.05216,0.58033,0.8734,0.95874,0.88404,0.92525,0.67523,0.92471,0.46777,0.85,0.000573755,0.000573755,0.000573755
12,711.656,1.05273,0.56447,0.87582,0.94144,0.90051,0.92665,0.65521,0.94289,0.4693,0.85325,0.000570793,0.000570793,0.000570793
13,771.222,1.03434,0.55665,0.87139,0.96299,0.88862,0.9291,0.66307,0.95308,0.46289,0.85357,0.000567561,0.000567561,0.000567561
14,831.947,1.03628,0.54339,0.87199,0.95123,0.89346,0.92644,0.6594,0.94955,0.46687,0.85217,0.000564062,0.000564062,0.000564062
15,891.88,1.03037,0.53207,0.87233,0.9131,0.90663,0.92664,0.6708,0.90892,0.44059,0.8484,0.000560299,0.000560299,0.000560299
16,950.44,1.02415,0.52573,0.86968,0.92933,0.90965,0.93013,0.65826,0.93784,0.44935,0.85107,0.000556276,0.000556276,0.000556276
17,1008.75,1.00642,0.51274,0.86738,0.93313,0.89535,0.93146,0.67424,0.92066,0.44847,0.84939,0.000551998,0.000551998,0.000551998
18,1070.83,1.0132,0.51957,0.86891,0.9479,0.89739,0.93257,0.67242,0.93412,0.45847,0.84988,0.000547468,0.000547468,0.000547468
19,1130.58,1.02412,0.51648,0.86829,0.92016,0.90114,0.93036,0.66995,0.94815,0.44603,0.84975,0.00054269,0.00054269,0.00054269
20,1191.13,0.99489,0.50064,0.86429,0.94803,0.90443,0.93325,0.6732,0.91498,0.43736,0.84633,0.00053767,0.00053767,0.00053767
21,1252.42,0.9991,0.49663,0.86483,0.94498,0.90526,0.93247,0.68207,0.90493,0.42978,0.84696,0.000532412,0.000532412,0.000532412
22,1312.09,0.99244,0.48681,0.86195,0.9508,0.91356,0.938,0.65068,1.00039,0.457,0.85748,0.000526923,0.000526923,0.000526923
23,1371.48,0.98216,0.48658,0.86506,0.92537,0.91048,0.93078,0.68465,0.90439,0.43125,0.84487,0.000521206,0.000521206,0.000521206
24,1431.63,0.9868,0.47983,0.86418,0.94888,0.91454,0.93837,0.68396,0.89512,0.42033,0.84539,0.000515267,0.000515267,0.000515267
25,1491.45,0.99407,0.47425,0.86684,0.93879,0.90742,0.92948,0.67858,0.91609,0.4209,0.84522,0.000509114,0.000509114,0.000509114
26,1551.39,0.97023,0.4721,0.86194,0.931,0.89996,0.92527,0.67702,0.93166,0.43304,0.84922,0.00050275,0.00050275,0.00050275
27,1611.85,0.97709,0.4677,0.86356,0.94416,0.91998,0.93872,0.66573,0.94428,0.43469,0.84682,0.000496184,0.000496184,0.000496184
