epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9185,1.53577,2.28344,0.97029,0.55043,0.60413,0.53323,0.33642,1.12821,0.98047,0.87964,0.000195473,0.000195473,0.000195473
2,82.4171,1.27266,1.04206,0.91328,0.90867,0.77873,0.84917,0.57296,1.08358,0.67295,0.86919,0.000391377,0.000391377,0.000391377
3,125.584,1.20444,0.84744,0.89924,0.94584,0.81697,0.88517,0.6113,1.01837,0.60214,0.86121,0.000586899,0.000586899,0.000586899
4,170.395,1.14831,0.761,0.89134,0.94655,0.82813,0.89497,0.5983,1.03659,0.57329,0.86451,0.000586708,0.000586708,0.000586708
5,214.18,1.128,0.70175,0.88967,0.87932,0.86886,0.9096,0.63288,1.01444,0.54381,0.86554,0.000585705,0.000585705,0.000585705
6,259.566,1.1003,0.66962,0.88699,0.91621,0.87875,0.91572,0.62889,0.98755,0.52865,0.85894,0.000584417,0.000584417,0.000584417
7,304.959,1.10874,0.64754,0.88406,0.91654,0.86527,0.91121,0.63451,0.95966,0.51021,0.85495,0.000582845,0.000582845,0.000582845
8,351.369,1.091,0.62247,0.88276,0.89384,0.86377,0.91044,0.62695,1.00007,0.5262,0.86044,0.00058099,0.00058099,0.00058099
9,398.494,1.07776,0.59988,0.88126,0.90542,0.89223,0.91983,0.65935,0.95219,0.48664,0.85541,0.000578856,0.000578856,0.000578856
10,448.523,1.07072,0.58859,0.88095,0.93442,0.89466,0.92357,0.6414,0.94217,0.49441,0.85061,0.000576443,0.000576443,0.000576443
11,496.131,1.05717,0.57293,0.87619,0.94207,0.89027,0.92182,0.65089,0.94996,0.47886,0.85332,0.000573755,0.000573755,0.000573755
12,543.144,1.04346,0.55485,0.87644,0.91329,0.90332,0.91874,0.65503,0.95639,0.4688,0.85817,0.000570793,0.000570793,0.000570793
13,591.196,1.03752,0.55209,0.87318,0.92827,0.90486,0.92629,0.65995,0.96386,0.46942,0.85674,0.000567561,0.000567561,0.000567561
14,638.584,1.039,0.53661,0.87417,0.94712,0.89413,0.92744,0.66615,0.92965,0.44914,0.85197,0.000564062,0.000564062,0.000564062
15,686.009,1.02478,0.52416,0.8733,0.92373,0.89887,0.92629,0.65718,0.95583,0.46817,0.85289,0.000560299,0.000560299,0.000560299
16,733.14,1.02959,0.5252,0.87183,0.92977,0.91252,0.9287,0.6709,0.92719,0.45,0.8512,0.000556276,0.000556276,0.000556276
17,780.673,1.00382,0.5059,0.86799,0.94005,0.91079,0.93028,0.66935,0.92588,0.44558,0.84978,0.000551998,0.000551998,0.000551998
18,828.401,1.00817,0.50963,0.8698,0.91871,0.9027,0.92657,0.66446,0.94132,0.46082,0.85259,0.000547468,0.000547468,0.000547468
19,876.479,1.02914,0.51814,0.87022,0.92175,0.90708,0.92601,0.66559,0.91194,0.44635,0.8485,0.00054269,0.00054269,0.00054269
20,924.33,0.99824,0.50125,0.86607,0.92369,0.89069,0.92718,0.65239,0.96722,0.46127,0.8513,0.00053767,0.00053767,0.00053767
21,971.874,0.99351,0.4949,0.86567,0.92969,0.91417,0.92949,0.67079,0.92561,0.4402,0.84904,0.000532412,0.000532412,0.000532412
22,1019.74,0.98881,0.48769,0.86253,0.9384,0.90661,0.92948,0.65727,0.95139,0.45382,0.85246,0.000526923,0.000526923,0.000526923
23,1066.97,0.98625,0.48924,0.86707,0.93138,0.91174,0.92727,0.67924,0.89814,0.43226,0.84676,0.000521206,0.000521206,0.000521206
24,1115.38,0.98693,0.47739,0.86533,0.94776,0.91115,0.92931,0.67397,0.89698,0.4288,0.8457,0.000515267,0.000515267,0.000515267
25,1164.46,0.9849,0.47966,0.86721,0.94313,0.91406,0.93131,0.66337,0.91412,0.43467,0.84621,0.000509114,0.000509114,0.000509114
26,1212.25,0.97238,0.47795,0.86331,0.91927,0.92457,0.92855,0.68019,0.9216,0.43234,0.84844,0.00050275,0.00050275,0.00050275
27,1260.31,0.98019,0.47096,0.8648,0.92912,0.92239,0.92673,0.66885,0.91798,0.43194,0.84758,0.000496184,0.000496184,0.000496184
28,1307.91,0.96298,0.46783,0.85959,0.92627,0.91918,0.92336,0.67457,0.89944,0.43253,0.84372,0.000489421,0.000489421,0.000489421
29,1355.61,0.97482,0.46973,0.86038,0.94726,0.91076,0.92776,0.67355,0.90956,0.43596,0.84279,0.000482469,0.000482469,0.000482469
30,1404.09,0.96267,0.46341,0.86016,0.94325,0.9039,0.92538,0.67594,0.90536,0.41809,0.84399,0.000475333,0.000475333,0.000475333
31,1452.54,0.96217,0.46682,0.85888,0.93947,0.91378,0.92736,0.68607,0.89592,0.42209,0.84534,0.000468021,0.000468021,0.000468021
32,1500.97,0.95814,0.45584,0.86138,0.9385,0.92114,0.93245,0.69093,0.88635,0.4176,0.84065,0.00046054,0.00046054,0.00046054
33,1548.61,0.9569,0.45314,0.8592,0.94591,0.91945,0.92951,0.68375,0.88745,0.41529,0.84323,0.000452898,0.000452898,0.000452898
34,1596.74,0.94761,0.46004,0.8581,0.94508,0.92594,0.93299,0.67548,0.89515,0.4228,0.84261,0.000445102,0.000445102,0.000445102
35,1644.72,0.94359,0.45134,0.85387,0.9389,0.92303,0.92939,0.67556,0.91618,0.41822,0.84487,0.000437159,0.000437159,0.000437159
36,1692.22,0.93753,0.44629,0.85681,0.95421,0.91205,0.93062,0.68845,0.87926,0.41378,0.84233,0.000429078,0.000429078,0.000429078
37,1739.56,0.93331,0.44766,0.85533,0.94126,0.91729,0.93166,0.67935,0.90104,0.4156,0.84262,0.000420867,0.000420867,0.000420867
38,1787.97,0.92635,0.4399,0.85371,0.93427,0.92117,0.9282,0.69029,0.8861,0.41414,0.84274,0.000412534,0.000412534,0.000412534
39,1835.55,0.93093,0.44029,0.85558,0.941,0.92212,0.92978,0.6858,0.88755,0.41892,0.8415,0.000404086,0.000404086,0.000404086
40,1883.76,0.93165,0.43722,0.85582,0.93868,0.91528,0.92919,0.69465,0.87732,0.41099,0.84009,0.000395533,0.000395533,0.000395533
41,1932.1,0.92877,0.43752,0.85214,0.92951,0.91392,0.92878,0.68626,0.8902,0.41465,0.84161,0.000386882,0.000386882,0.000386882
42,1980.86,0.92011,0.43542,0.85162,0.93632,0.92287,0.9304,0.69004,0.88908,0.41075,0.84138,0.000378143,0.000378143,0.000378143
43,2028.92,0.91799,0.43579,0.85192,0.95656,0.90989,0.92781,0.69597,0.87497,0.40549,0.84061,0.000369324,0.000369324,0.000369324
44,2077.03,0.9125,0.43001,0.8512,0.94012,0.91713,0.92952,0.68728,0.88874,0.41042,0.84155,0.000360433,0.000360433,0.000360433
45,2124.82,0.90451,0.42741,0.84892,0.94264,0.90796,0.92634,0.68223,0.89412,0.41102,0.84238,0.000351479,0.000351479,0.000351479
46,2172.86,0.91297,0.43039,0.85141,0.95447,0.91423,0.93037,0.69033,0.8807,0.41024,0.84047,0.000342472,0.000342472,0.000342472
47,2220.04,0.89632,0.42504,0.8484,0.93432,0.9189,0.92589,0.69304,0.87075,0.40175,0.83991,0.000333419,0.000333419,0.000333419
48,2268.12,0.89769,0.41872,0.84532,0.93693,0.91272,0.92919,0.68979,0.89088,0.40636,0.84135,0.000324331,0.000324331,0.000324331
49,2316.82,0.89525,0.41838,0.84656,0.94283,0.91702,0.92593,0.69297,0.87036,0.4025,0.83853,0.000315216,0.000315216,0.000315216
50,2364.73,0.8975,0.41521,0.84718,0.92521,0.91971,0.92569,0.68893,0.88382,0.40463,0.83981,0.000306082,0.000306082,0.000306082
51,2412.8,0.88532,0.41208,0.84701,0.94071,0.92028,0.93105,0.69472,0.8789,0.39989,0.83993,0.00029694,0.00029694,0.00029694
52,2461.09,0.88666,0.41311,0.84713,0.93679,0.92258,0.92845,0.6868,0.88156,0.40211,0.84076,0.000287798,0.000287798,0.000287798
53,2509.4,0.88211,0.41061,0.84512,0.9404,0.91447,0.92554,0.6862,0.88696,0.39873,0.84014,0.000278664,0.000278664,0.000278664
