epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1203,1.50728,3.03664,0.87937,0.58457,0.52888,0.53859,0.34233,1.23293,1.66063,0.83935,0.000195533,0.000195533,0.000195533
2,116.645,1.3602,1.55633,0.85955,0.75651,0.65601,0.73401,0.50686,1.11661,1.15612,0.83661,0.000391438,0.000391438,0.000391438
3,173.703,1.31899,1.22393,0.86017,0.74983,0.7089,0.80739,0.54867,1.0873,0.99459,0.84536,0.000586959,0.000586959,0.000586959
4,230.676,1.29546,1.04494,0.85589,0.75459,0.81078,0.83817,0.58094,1.05155,0.81375,0.85074,0.000586708,0.000586708,0.000586708
5,289.009,1.27066,0.91784,0.85514,0.78349,0.77077,0.8369,0.58175,1.05258,0.70241,0.84958,0.000585705,0.000585705,0.000585705
6,347.328,1.24332,0.81878,0.85482,0.85582,0.80558,0.86951,0.60595,1.04962,0.59635,0.84864,0.000584417,0.000584417,0.000584417
7,406.719,1.24193,0.73417,0.8547,0.878,0.83856,0.8797,0.6193,1.01848,0.53827,0.84541,0.000582845,0.000582845,0.000582845
8,468.343,1.22901,0.68396,0.85527,0.83731,0.86254,0.87961,0.61806,1.008,0.49545,0.84418,0.00058099,0.00058099,0.00058099
9,528.463,1.23083,0.65984,0.8554,0.84578,0.86723,0.89577,0.62754,0.99537,0.46266,0.84296,0.000578856,0.000578856,0.000578856
10,588.899,1.20151,0.60994,0.85129,0.82372,0.85607,0.8846,0.62044,1.01692,0.44617,0.84996,0.000576443,0.000576443,0.000576443
11,649.486,1.19252,0.57907,0.85413,0.85181,0.87769,0.89584,0.63229,1.00401,0.42595,0.8477,0.000573755,0.000573755,0.000573755
12,709.95,1.1924,0.56035,0.86159,0.83507,0.88279,0.90875,0.63057,1.01257,0.41755,0.85029,0.000570793,0.000570793,0.000570793
13,770.299,1.20008,0.54769,0.86455,0.86679,0.90376,0.91035,0.64107,1.01902,0.40902,0.84792,0.000567561,0.000567561,0.000567561
14,831.205,1.17023,0.51673,0.86238,0.86556,0.89193,0.90536,0.62982,1.02306,0.39675,0.84772,0.000564062,0.000564062,0.000564062
15,891.575,1.16299,0.49898,0.86154,0.87813,0.89255,0.92115,0.66323,0.96879,0.38667,0.84395,0.000560299,0.000560299,0.000560299
16,952.309,1.15252,0.48789,0.85995,0.8928,0.88034,0.91733,0.66298,0.96418,0.37451,0.84281,0.000556276,0.000556276,0.000556276
17,1012.5,1.14779,0.48842,0.86127,0.89949,0.89844,0.92816,0.66785,0.9861,0.37118,0.84802,0.000551998,0.000551998,0.000551998
18,1073.13,1.15674,0.48258,0.85994,0.91294,0.90273,0.93457,0.67454,0.96119,0.36174,0.8435,0.000547468,0.000547468,0.000547468
19,1133.23,1.12759,0.4668,0.85526,0.90287,0.9124,0.92896,0.67738,0.96619,0.35999,0.84079,0.00054269,0.00054269,0.00054269
20,1194.04,1.14299,0.46685,0.85778,0.91352,0.91955,0.93606,0.67321,0.95208,0.34771,0.83904,0.00053767,0.00053767,0.00053767
21,1254.17,1.13124,0.45587,0.85622,0.89985,0.91098,0.91889,0.66059,0.97141,0.35839,0.84317,0.000532412,0.000532412,0.000532412
22,1314.05,1.11516,0.44417,0.85377,0.91939,0.89758,0.93364,0.66711,0.994,0.35632,0.84535,0.000526923,0.000526923,0.000526923
23,1374.42,1.13446,0.45683,0.85461,0.9064,0.90985,0.92895,0.66661,0.96833,0.33877,0.84428,0.000521206,0.000521206,0.000521206
24,1434.43,1.11644,0.43892,0.8549,0.87255,0.91205,0.9245,0.6782,0.93876,0.34823,0.83997,0.000515267,0.000515267,0.000515267
25,1494.58,1.11782,0.44198,0.8551,0.92962,0.9057,0.93795,0.68439,0.92643,0.33599,0.83851,0.000509114,0.000509114,0.000509114
26,1555.09,1.10329,0.4254,0.85164,0.91996,0.90637,0.93185,0.67731,0.94091,0.34044,0.83928,0.00050275,0.00050275,0.00050275
27,1616.59,1.10722,0.43241,0.85278,0.92791,0.89965,0.937,0.69137,0.92888,0.33691,0.83833,0.000496184,0.000496184,0.000496184
28,1678.29,1.10685,0.42582,0.85305,0.94061,0.91234,0.94369,0.68747,0.93189,0.33168,0.83782,0.000489421,0.000489421,0.000489421
29,1739.4,1.08305,0.41713,0.84913,0.94394,0.90594,0.94019,0.68227,0.9524,0.32905,0.84246,0.000482469,0.000482469,0.000482469
30,1800.96,1.0919,0.42569,0.84707,0.93336,0.91216,0.94204,0.69228,0.93372,0.32959,0.83839,0.000475333,0.000475333,0.000475333
31,1861.8,1.0781,0.41265,0.84607,0.92597,0.90158,0.93519,0.67719,0.93748,0.34011,0.83976,0.000468021,0.000468021,0.000468021
