epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8076,1.53638,2.2275,0.96605,0.60381,0.68109,0.61041,0.38412,1.11133,1.05435,0.87569,0.000195533,0.000195533,0.000195533
2,78.7852,1.29378,1.04853,0.91336,0.88882,0.82237,0.8604,0.59966,1.05744,0.74819,0.8697,0.000391438,0.000391438,0.000391438
3,119.889,1.21443,0.85733,0.90246,0.94426,0.83506,0.89332,0.59372,1.08907,0.65487,0.87183,0.000586959,0.000586959,0.000586959
4,163.192,1.15909,0.7683,0.89288,0.93887,0.85979,0.91373,0.62851,1.00145,0.60628,0.86295,0.000586708,0.000586708,0.000586708
5,205.069,1.1423,0.72421,0.88996,0.91254,0.87515,0.91597,0.6418,0.95306,0.57605,0.85843,0.000585705,0.000585705,0.000585705
6,248.276,1.1126,0.6748,0.88609,0.91624,0.89698,0.92005,0.63603,1.00224,0.56063,0.86142,0.000584417,0.000584417,0.000584417
7,289.685,1.10702,0.64783,0.88337,0.94213,0.8951,0.93068,0.65886,0.93934,0.51912,0.85693,0.000582845,0.000582845,0.000582845
8,331.793,1.09809,0.62317,0.88358,0.93302,0.91321,0.93447,0.66159,0.92331,0.4922,0.8514,0.00058099,0.00058099,0.00058099
9,373.176,1.08814,0.60955,0.88101,0.9222,0.91503,0.93427,0.67738,0.90778,0.48776,0.85076,0.000578856,0.000578856,0.000578856
10,414.978,1.05906,0.58637,0.87651,0.95011,0.90959,0.93576,0.67059,0.92328,0.48417,0.85438,0.000576443,0.000576443,0.000576443
11,457.102,1.05102,0.57211,0.87295,0.92687,0.90234,0.93607,0.66595,0.92406,0.4811,0.85578,0.000573755,0.000573755,0.000573755
12,499.105,1.05478,0.5637,0.87586,0.9401,0.91235,0.93849,0.66812,0.91581,0.47373,0.85098,0.000570793,0.000570793,0.000570793
13,540.66,1.04827,0.55707,0.87356,0.91547,0.92412,0.93979,0.65184,0.95721,0.47498,0.85844,0.000567561,0.000567561,0.000567561
14,582.777,1.04215,0.54421,0.87297,0.94865,0.91941,0.94307,0.66913,0.91703,0.45974,0.85312,0.000564062,0.000564062,0.000564062
15,624.235,1.0306,0.53432,0.87052,0.9317,0.92341,0.93863,0.67908,0.90116,0.44064,0.85264,0.000560299,0.000560299,0.000560299
16,666.044,1.02077,0.52516,0.87065,0.94914,0.91579,0.94031,0.66604,0.89375,0.44797,0.85154,0.000556276,0.000556276,0.000556276
17,708.803,1.03109,0.52617,0.87337,0.95644,0.91409,0.94255,0.6812,0.8831,0.43514,0.84888,0.000551998,0.000551998,0.000551998
18,751.118,1.01153,0.51662,0.86817,0.94159,0.91426,0.94288,0.67797,0.89517,0.43908,0.85059,0.000547468,0.000547468,0.000547468
19,793.323,1.00757,0.51255,0.86565,0.94267,0.92112,0.94379,0.67981,0.89557,0.43489,0.84656,0.00054269,0.00054269,0.00054269
20,835.986,1.0147,0.51078,0.86797,0.92441,0.92222,0.93652,0.67174,0.88825,0.42619,0.84857,0.00053767,0.00053767,0.00053767
21,879.084,1.00127,0.50181,0.86655,0.95141,0.9223,0.94211,0.68412,0.90111,0.42582,0.85131,0.000532412,0.000532412,0.000532412
22,921.222,0.9882,0.49186,0.86449,0.94283,0.9268,0.94914,0.68628,0.87683,0.42565,0.84657,0.000526923,0.000526923,0.000526923
23,963.257,0.99904,0.50439,0.86478,0.94176,0.92832,0.94256,0.6788,0.8823,0.42677,0.84943,0.000521206,0.000521206,0.000521206
24,1005.66,0.98663,0.48822,0.86588,0.95672,0.91487,0.94569,0.68812,0.87547,0.41821,0.84611,0.000515267,0.000515267,0.000515267
25,1090.87,0.98413,0.48881,0.86436,0.9507,0.92507,0.94421,0.68852,0.87223,0.42069,0.84675,0.000509114,0.000509114,0.000509114
26,1175.25,0.98461,0.48252,0.86354,0.9494,0.92747,0.94682,0.68747,0.87029,0.41382,0.846,0.00050275,0.00050275,0.00050275
27,1261.73,0.97832,0.48341,0.86277,0.94042,0.93542,0.95125,0.68663,0.86667,0.4105,0.84617,0.000496184,0.000496184,0.000496184
28,1348.25,0.96948,0.47528,0.86149,0.95214,0.92095,0.94842,0.69011,0.87082,0.40186,0.84527,0.000489421,0.000489421,0.000489421
29,1431.96,0.96228,0.46903,0.86004,0.93085,0.92771,0.94101,0.66942,0.901,0.41354,0.8486,0.000482469,0.000482469,0.000482469
30,1513.86,0.96838,0.47263,0.85987,0.94971,0.92897,0.94534,0.6955,0.85491,0.40487,0.84499,0.000475333,0.000475333,0.000475333
31,1596.19,0.959,0.46438,0.85761,0.93425,0.92091,0.94536,0.68528,0.87547,0.41077,0.8478,0.000468021,0.000468021,0.000468021
32,1678.66,0.95204,0.45844,0.85741,0.93587,0.92837,0.94227,0.68788,0.86759,0.403,0.84478,0.00046054,0.00046054,0.00046054
33,1760.39,0.95254,0.45762,0.85891,0.93286,0.93582,0.94376,0.68623,0.85442,0.40217,0.84383,0.000452898,0.000452898,0.000452898
34,1840.23,0.95103,0.4584,0.85526,0.94009,0.93873,0.94672,0.68486,0.85373,0.40222,0.84444,0.000445102,0.000445102,0.000445102
35,1920.21,0.94376,0.45202,0.85627,0.93485,0.93493,0.94751,0.69093,0.86042,0.40121,0.84363,0.000437159,0.000437159,0.000437159
36,1999.69,0.9427,0.45143,0.85539,0.93171,0.93938,0.94633,0.69456,0.86235,0.39772,0.8438,0.000429078,0.000429078,0.000429078
37,2079.48,0.93478,0.45062,0.85271,0.93796,0.93521,0.94792,0.69217,0.86844,0.39707,0.84616,0.000420867,0.000420867,0.000420867
38,2154.88,0.94026,0.45131,0.85573,0.96057,0.92824,0.95263,0.69492,0.86166,0.39538,0.84365,0.000412534,0.000412534,0.000412534
39,2201.32,0.93607,0.44876,0.85506,0.94022,0.93446,0.94892,0.69199,0.85251,0.39416,0.84152,0.000404086,0.000404086,0.000404086
40,2252.26,0.92667,0.44165,0.85143,0.94321,0.92821,0.94142,0.68993,0.86363,0.39741,0.8467,0.000395533,0.000395533,0.000395533
