epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4989,1.55753,2.74676,0.92906,0.49085,0.49829,0.38659,0.23349,1.28935,1.28499,0.89293,0.000195067,0.000195067,0.000195067
2,72.4819,1.29305,1.1616,0.90168,0.85309,0.76685,0.81966,0.57444,1.01116,0.81012,0.85807,0.000390971,0.000390971,0.000390971
3,110.338,1.20151,0.8883,0.89183,0.93016,0.84172,0.89827,0.61712,0.9847,0.66386,0.85805,0.000586493,0.000586493,0.000586493
4,149.414,1.15456,0.78594,0.88786,0.91767,0.85898,0.90698,0.63402,0.97058,0.6116,0.85514,0.000586708,0.000586708,0.000586708
5,188.504,1.15482,0.73368,0.88921,0.94106,0.87096,0.92472,0.64793,0.93326,0.57167,0.85145,0.000585705,0.000585705,0.000585705
6,231.958,1.1047,0.67762,0.88235,0.9117,0.89895,0.92515,0.63726,0.97796,0.55302,0.85428,0.000584417,0.000584417,0.000584417
7,273.104,1.09782,0.66028,0.87746,0.90196,0.90966,0.92188,0.64311,0.95397,0.5425,0.85406,0.000582845,0.000582845,0.000582845
8,313.631,1.0921,0.63748,0.87737,0.92964,0.9093,0.92826,0.64576,0.92923,0.51404,0.85047,0.00058099,0.00058099,0.00058099
9,354.375,1.07391,0.61517,0.87482,0.9215,0.89941,0.92578,0.66814,0.8855,0.48864,0.84663,0.000578856,0.000578856,0.000578856
10,396.282,1.06741,0.58984,0.87465,0.92015,0.89737,0.92128,0.66567,0.88863,0.49343,0.8457,0.000576443,0.000576443,0.000576443
11,442.895,1.04173,0.57825,0.86951,0.9339,0.91058,0.93574,0.64754,0.91789,0.47681,0.84912,0.000573755,0.000573755,0.000573755
12,486.676,1.05278,0.56891,0.87267,0.94586,0.89117,0.93271,0.65988,0.90948,0.4746,0.85096,0.000570793,0.000570793,0.000570793
13,533.475,1.01918,0.54877,0.86648,0.94798,0.91735,0.93442,0.66563,0.88723,0.46331,0.84576,0.000567561,0.000567561,0.000567561
14,589.697,1.03423,0.54351,0.8699,0.91917,0.91534,0.92787,0.64025,0.96287,0.4751,0.85147,0.000564062,0.000564062,0.000564062
15,639.49,1.01944,0.5299,0.86729,0.93503,0.91915,0.9343,0.66251,0.89705,0.44788,0.84701,0.000560299,0.000560299,0.000560299
16,688.651,1.01407,0.52697,0.86764,0.94632,0.91488,0.9332,0.6672,0.88158,0.45455,0.84483,0.000556276,0.000556276,0.000556276
17,739.299,1.01328,0.52177,0.86883,0.93053,0.91973,0.93971,0.66604,0.88029,0.43729,0.84391,0.000551998,0.000551998,0.000551998
18,785.464,1.01632,0.51907,0.86817,0.91705,0.92102,0.93322,0.67723,0.87782,0.43628,0.84336,0.000547468,0.000547468,0.000547468
19,830.957,0.99264,0.50521,0.86439,0.91474,0.92444,0.93687,0.67456,0.86426,0.43361,0.84308,0.00054269,0.00054269,0.00054269
20,875.485,0.99351,0.50444,0.86418,0.93823,0.91615,0.93688,0.64282,0.90652,0.45294,0.84609,0.00053767,0.00053767,0.00053767
