epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2953,1.49195,2.15802,0.94471,0.67669,0.68111,0.65565,0.43188,1.09971,0.9974,0.87292,0.000195533,0.000195533,0.000195533
2,118.626,1.25483,0.96456,0.8981,0.92102,0.8353,0.87658,0.60015,1.03366,0.6876,0.86775,0.000391438,0.000391438,0.000391438
3,185.989,1.16107,0.78334,0.8843,0.93978,0.8503,0.90408,0.61174,1.01537,0.63357,0.85981,0.000586959,0.000586959,0.000586959
4,254.007,1.1202,0.70601,0.87839,0.93692,0.87268,0.91835,0.65689,0.92679,0.57825,0.85381,0.000586708,0.000586708,0.000586708
5,321.973,1.08382,0.65474,0.87226,0.93362,0.88224,0.92446,0.65753,0.93188,0.53446,0.85375,0.000585705,0.000585705,0.000585705
6,390.034,1.0583,0.61866,0.86845,0.93535,0.91132,0.92638,0.65548,0.92266,0.55057,0.84961,0.000584417,0.000584417,0.000584417
7,459.286,1.0501,0.59749,0.86533,0.93011,0.90664,0.9299,0.66453,0.93543,0.52018,0.85412,0.000582845,0.000582845,0.000582845
8,528.335,1.03226,0.57432,0.86371,0.91438,0.91596,0.93068,0.67197,0.89368,0.48471,0.84847,0.00058099,0.00058099,0.00058099
9,597.296,1.02931,0.56056,0.86307,0.95936,0.91716,0.94066,0.67702,0.89683,0.47075,0.84939,0.000578856,0.000578856,0.000578856
10,666.629,1.01285,0.53848,0.86049,0.95763,0.92095,0.94164,0.67389,0.89522,0.46275,0.84882,0.000576443,0.000576443,0.000576443
11,735.282,1.01101,0.52799,0.85856,0.94177,0.91754,0.93749,0.67847,0.90598,0.45207,0.85492,0.000573755,0.000573755,0.000573755
12,805.026,1.00558,0.52409,0.85892,0.94487,0.91187,0.9345,0.67525,0.89752,0.45023,0.84819,0.000570793,0.000570793,0.000570793
13,874.028,1.00024,0.51862,0.85856,0.93115,0.92383,0.93841,0.66871,0.9016,0.44571,0.85022,0.000567561,0.000567561,0.000567561
14,944.602,0.98535,0.50603,0.85588,0.95453,0.92689,0.94348,0.67331,0.90952,0.44753,0.85674,0.000564062,0.000564062,0.000564062
15,1014.08,0.97158,0.4926,0.85336,0.94267,0.9319,0.94453,0.67785,0.90796,0.43657,0.85251,0.000560299,0.000560299,0.000560299
16,1084.39,0.96307,0.48764,0.85276,0.94621,0.93067,0.9421,0.67665,0.87111,0.42172,0.84672,0.000556276,0.000556276,0.000556276
17,1153.68,0.961,0.48499,0.85546,0.94668,0.92523,0.94221,0.67636,0.87538,0.4298,0.84952,0.000551998,0.000551998,0.000551998
