epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5596,1.50892,2.98561,0.86514,0.59179,0.60406,0.58741,0.38748,1.19667,1.5057,0.81539,0.000195533,0.000195533,0.000195533
2,150.799,1.36273,1.49033,0.84338,0.80733,0.66567,0.76999,0.5322,1.08716,1.02553,0.80383,0.000391438,0.000391438,0.000391438
3,235.345,1.31861,1.16243,0.84048,0.782,0.76416,0.83394,0.57006,1.06735,0.83713,0.80104,0.000586959,0.000586959,0.000586959
4,320.442,1.26678,0.97478,0.8356,0.81942,0.78594,0.8636,0.60127,1.04046,0.72549,0.80152,0.000586708,0.000586708,0.000586708
5,406.439,1.23153,0.8388,0.8326,0.8456,0.80038,0.88529,0.62238,1.05177,0.69717,0.80658,0.000585705,0.000585705,0.000585705
6,492.663,1.21649,0.76174,0.8326,0.86067,0.82033,0.8967,0.63579,1.02325,0.61646,0.80676,0.000584417,0.000584417,0.000584417
7,579.077,1.20748,0.69369,0.83182,0.85755,0.844,0.91105,0.63335,1.04488,0.56976,0.80812,0.000582845,0.000582845,0.000582845
8,666.364,1.18524,0.6424,0.83104,0.85433,0.85434,0.91284,0.65392,1.00527,0.5974,0.80913,0.00058099,0.00058099,0.00058099
9,753.385,1.18818,0.6206,0.83179,0.91021,0.86818,0.91972,0.65452,0.97989,0.50082,0.83067,0.000578856,0.000578856,0.000578856
10,840.285,1.17055,0.57163,0.83171,0.85946,0.89806,0.92336,0.65784,0.97928,0.50316,0.82656,0.000576443,0.000576443,0.000576443
11,926.648,1.15815,0.54305,0.83052,0.90607,0.88093,0.92657,0.66734,0.98603,0.44852,0.83807,0.000573755,0.000573755,0.000573755
12,1013.55,1.14627,0.52609,0.82873,0.92195,0.88323,0.90959,0.65853,0.96308,0.40155,0.83939,0.000570793,0.000570793,0.000570793
13,1100.62,1.13591,0.50525,0.83046,0.90689,0.8961,0.92936,0.65329,1.00043,0.38428,0.84272,0.000567561,0.000567561,0.000567561
14,1187.8,1.12931,0.492,0.83182,0.90909,0.88993,0.93216,0.66969,0.96705,0.39254,0.8428,0.000564062,0.000564062,0.000564062
15,1273.49,1.10856,0.47424,0.83,0.88236,0.91414,0.93374,0.67323,0.95066,0.36976,0.83964,0.000560299,0.000560299,0.000560299
16,1360.52,1.10523,0.46571,0.83098,0.90812,0.91568,0.93056,0.67248,0.95416,0.35939,0.83881,0.000556276,0.000556276,0.000556276
17,1447.2,1.10143,0.45925,0.83227,0.90842,0.90402,0.93336,0.6731,0.94537,0.35154,0.83953,0.000551998,0.000551998,0.000551998
18,1533.98,1.10655,0.45667,0.83073,0.90005,0.89352,0.93265,0.67799,0.95405,0.3563,0.8378,0.000547468,0.000547468,0.000547468
19,1620.49,1.08895,0.44472,0.82988,0.93095,0.91462,0.93871,0.6826,0.94517,0.34775,0.84019,0.00054269,0.00054269,0.00054269
20,1708,1.09475,0.44903,0.8328,0.92718,0.90118,0.93504,0.67449,0.94522,0.34407,0.84088,0.00053767,0.00053767,0.00053767
21,1794.83,1.08091,0.434,0.83619,0.94134,0.9039,0.93792,0.67988,0.94993,0.34262,0.84378,0.000532412,0.000532412,0.000532412
22,1882.08,1.07586,0.42045,0.8382,0.93048,0.90628,0.93647,0.68125,0.94587,0.32995,0.84057,0.000526923,0.000526923,0.000526923
23,1972.3,1.07406,0.43118,0.83611,0.92413,0.92234,0.94291,0.67929,0.94402,0.334,0.84134,0.000521206,0.000521206,0.000521206
24,2057.82,1.06758,0.41283,0.83862,0.89882,0.92383,0.93537,0.67739,0.94105,0.32819,0.84171,0.000515267,0.000515267,0.000515267
25,2144.67,1.05312,0.40542,0.83732,0.94501,0.9111,0.93967,0.68963,0.93315,0.33215,0.83932,0.000509114,0.000509114,0.000509114
26,2232.16,1.0397,0.39512,0.83364,0.90188,0.92973,0.94427,0.68578,0.92632,0.33109,0.83857,0.00050275,0.00050275,0.00050275
27,2321.04,1.05843,0.41079,0.83659,0.90055,0.92606,0.93667,0.69148,0.92605,0.32961,0.84171,0.000496184,0.000496184,0.000496184
28,2407.56,1.04573,0.40094,0.8338,0.91115,0.93051,0.94681,0.69432,0.9196,0.32964,0.84052,0.000489421,0.000489421,0.000489421
29,2495.03,1.03135,0.38771,0.83362,0.92581,0.9209,0.93969,0.68147,0.94821,0.3231,0.84382,0.000482469,0.000482469,0.000482469
30,2581.22,1.04462,0.39818,0.83272,0.91809,0.91739,0.93563,0.68781,0.91601,0.32357,0.83914,0.000475333,0.000475333,0.000475333
31,2668.76,1.02131,0.38032,0.83042,0.94263,0.91343,0.94918,0.68912,0.93819,0.32972,0.84043,0.000468021,0.000468021,0.000468021
32,2758.58,1.0192,0.37718,0.83101,0.91792,0.92446,0.94425,0.69246,0.91734,0.31819,0.84077,0.00046054,0.00046054,0.00046054
33,2846.3,1.01712,0.37592,0.83045,0.94028,0.91262,0.94761,0.69109,0.91414,0.31469,0.83825,0.000452898,0.000452898,0.000452898
34,2934.67,1.01871,0.37657,0.82803,0.91915,0.92485,0.94312,0.69243,0.92934,0.31636,0.84194,0.000445102,0.000445102,0.000445102
35,3021.5,1.00619,0.36719,0.82863,0.93602,0.91855,0.94279,0.69176,0.91601,0.31753,0.83774,0.000437159,0.000437159,0.000437159
36,3108.79,1.00165,0.36618,0.8273,0.93818,0.91467,0.93878,0.69589,0.90726,0.32027,0.83792,0.000429078,0.000429078,0.000429078
37,3196.3,1.00544,0.3729,0.82571,0.90534,0.93307,0.94358,0.69366,0.90173,0.31204,0.83764,0.000420867,0.000420867,0.000420867
38,3282.47,1.00783,0.37131,0.82737,0.92242,0.93153,0.94935,0.68871,0.90485,0.31378,0.8364,0.000412534,0.000412534,0.000412534
39,3369.28,0.99255,0.36577,0.82552,0.91524,0.92357,0.93815,0.6961,0.91149,0.31754,0.83606,0.000404086,0.000404086,0.000404086
40,3456.93,0.98895,0.3607,0.82335,0.94707,0.91659,0.94969,0.69245,0.91408,0.31415,0.83969,0.000395533,0.000395533,0.000395533
41,3543.45,0.98578,0.35933,0.8247,0.92659,0.91012,0.94491,0.69127,0.91289,0.3199,0.83855,0.000386882,0.000386882,0.000386882
42,3631.1,0.9821,0.35561,0.82463,0.90193,0.91773,0.93968,0.69293,0.90166,0.31575,0.83615,0.000378143,0.000378143,0.000378143
43,3717.57,0.97108,0.34891,0.82145,0.92108,0.93769,0.94704,0.69739,0.90444,0.30815,0.83802,0.000369324,0.000369324,0.000369324
44,3804.11,0.97182,0.3483,0.82206,0.93905,0.91755,0.94231,0.68191,0.91494,0.31396,0.83799,0.000360433,0.000360433,0.000360433
45,3892.88,0.96397,0.35217,0.82037,0.92669,0.91817,0.94633,0.69623,0.90812,0.32014,0.83584,0.000351479,0.000351479,0.000351479
46,3979.8,0.95354,0.34401,0.81859,0.92352,0.93847,0.9506,0.69778,0.90875,0.31588,0.83687,0.000342472,0.000342472,0.000342472
47,4067.85,0.95721,0.3454,0.81929,0.94003,0.9289,0.94234,0.68902,0.9021,0.3089,0.83773,0.000333419,0.000333419,0.000333419
48,4154.34,0.94762,0.34045,0.81779,0.92848,0.93635,0.94559,0.70437,0.9014,0.30686,0.83669,0.000324331,0.000324331,0.000324331
49,4240.51,0.93671,0.33642,0.81792,0.94321,0.92498,0.949,0.69857,0.89522,0.31546,0.83706,0.000315216,0.000315216,0.000315216
