epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.592,1.51288,2.57145,0.92688,0.49798,0.55423,0.47108,0.30187,1.12846,1.03577,0.87532,0.000195473,0.000195473,0.000195473
2,112.476,1.2613,1.11952,0.90278,0.87035,0.74896,0.81233,0.56315,1.06391,0.70109,0.86208,0.000391377,0.000391377,0.000391377
3,160.823,1.2024,0.8773,0.89391,0.91434,0.8116,0.8678,0.59924,1.08576,0.64046,0.87366,0.000586899,0.000586899,0.000586899
4,209.487,1.15627,0.78476,0.89084,0.91154,0.8339,0.88684,0.61572,1.03981,0.58198,0.8634,0.000586708,0.000586708,0.000586708
5,258.714,1.12489,0.72468,0.88614,0.91188,0.86145,0.90624,0.63659,1.02381,0.53732,0.86305,0.000585705,0.000585705,0.000585705
6,308.393,1.12481,0.68869,0.88839,0.89392,0.857,0.90286,0.61016,1.01649,0.54385,0.85667,0.000584417,0.000584417,0.000584417
7,359.507,1.10209,0.66105,0.88023,0.90652,0.86486,0.90635,0.61383,1.02139,0.53097,0.85908,0.000582845,0.000582845,0.000582845
8,412.088,1.10577,0.64068,0.88378,0.90353,0.88899,0.91157,0.64505,0.9618,0.49717,0.85437,0.00058099,0.00058099,0.00058099
9,462.223,1.08703,0.61996,0.8777,0.94892,0.86722,0.91816,0.65313,0.95365,0.49874,0.85096,0.000578856,0.000578856,0.000578856
10,512.577,1.06537,0.60118,0.87807,0.94337,0.88607,0.91079,0.6226,1.03878,0.51064,0.86067,0.000576443,0.000576443,0.000576443
11,563.359,1.05361,0.58707,0.87305,0.93359,0.89343,0.91921,0.65535,0.94778,0.48398,0.84984,0.000573755,0.000573755,0.000573755
12,613.801,1.03803,0.56186,0.87282,0.90532,0.8939,0.91538,0.65815,0.96071,0.48076,0.85325,0.000570793,0.000570793,0.000570793
13,664.531,1.04652,0.56192,0.87194,0.95197,0.88385,0.9226,0.65671,0.94656,0.46284,0.85331,0.000567561,0.000567561,0.000567561
14,714.802,1.03406,0.54537,0.8716,0.95515,0.88572,0.92241,0.67105,0.93387,0.45694,0.85161,0.000564062,0.000564062,0.000564062
