epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1841,1.53141,2.29287,0.96853,0.50547,0.55351,0.50594,0.31579,1.1857,0.99503,0.8791,0.000195473,0.000195473,0.000195473
2,120.537,1.26841,1.0467,0.91311,0.90148,0.77488,0.84985,0.5545,1.1396,0.67828,0.8764,0.000391377,0.000391377,0.000391377
3,174.113,1.20258,0.83907,0.89857,0.92662,0.78637,0.87155,0.60576,1.03395,0.61162,0.8624,0.000586899,0.000586899,0.000586899
4,230.046,1.15616,0.76242,0.89458,0.93704,0.82626,0.89502,0.61508,1.03144,0.57734,0.8675,0.000586708,0.000586708,0.000586708
5,285.796,1.12626,0.70519,0.8885,0.9205,0.85801,0.91032,0.62893,0.99163,0.53921,0.8594,0.000585705,0.000585705,0.000585705
6,342.109,1.10329,0.66875,0.88781,0.91204,0.88666,0.90935,0.61514,1.01645,0.54872,0.86005,0.000584417,0.000584417,0.000584417
7,399.28,1.10493,0.64526,0.88292,0.91957,0.8859,0.91633,0.64269,0.96486,0.51488,0.85323,0.000582845,0.000582845,0.000582845
8,457.98,1.0822,0.61625,0.88249,0.91259,0.88021,0.91115,0.62998,0.95138,0.50075,0.85475,0.00058099,0.00058099,0.00058099
9,515.779,1.08281,0.59893,0.87969,0.91156,0.90291,0.92301,0.65035,0.94675,0.49912,0.85096,0.000578856,0.000578856,0.000578856
10,573.971,1.06006,0.58639,0.87889,0.91516,0.89299,0.92178,0.66151,0.94536,0.47613,0.85298,0.000576443,0.000576443,0.000576443
11,631.608,1.05293,0.57493,0.87553,0.923,0.90189,0.92484,0.65803,0.94034,0.47869,0.84987,0.000573755,0.000573755,0.000573755
12,689.746,1.04541,0.55554,0.87593,0.91702,0.88887,0.91662,0.65893,0.95909,0.47237,0.85338,0.000570793,0.000570793,0.000570793
13,747.066,1.03568,0.55492,0.87188,0.92407,0.89036,0.92135,0.66783,0.93833,0.4741,0.85005,0.000567561,0.000567561,0.000567561
14,804.4,1.03385,0.54241,0.87386,0.92183,0.90224,0.92514,0.65821,0.92421,0.45506,0.84953,0.000564062,0.000564062,0.000564062
15,862.607,1.02817,0.53036,0.87405,0.90292,0.88624,0.92097,0.66204,0.9303,0.4745,0.84942,0.000560299,0.000560299,0.000560299
16,920.515,1.02903,0.52525,0.87098,0.91921,0.91633,0.92983,0.67561,0.91188,0.44788,0.84752,0.000556276,0.000556276,0.000556276
17,977.46,1.0117,0.51116,0.86954,0.94059,0.89828,0.92778,0.67616,0.91814,0.4455,0.84765,0.000551998,0.000551998,0.000551998
18,1034.3,1.00568,0.50656,0.8686,0.92544,0.89893,0.92254,0.67235,0.90385,0.44267,0.84754,0.000547468,0.000547468,0.000547468
19,1091.4,1.01972,0.50844,0.86913,0.92763,0.90312,0.92537,0.66782,0.9127,0.43681,0.84788,0.00054269,0.00054269,0.00054269
20,1148.86,0.9943,0.50192,0.86603,0.93,0.91296,0.93161,0.68377,0.89643,0.42929,0.84574,0.00053767,0.00053767,0.00053767
21,1207.64,0.98874,0.49494,0.86615,0.92531,0.91476,0.92698,0.67552,0.91979,0.43159,0.84885,0.000532412,0.000532412,0.000532412
22,1264.64,0.99662,0.49008,0.86517,0.93303,0.90039,0.92531,0.67226,0.92269,0.43903,0.84845,0.000526923,0.000526923,0.000526923
23,1322.54,0.98758,0.48181,0.86686,0.92313,0.90127,0.92266,0.67522,0.90023,0.42726,0.84486,0.000521206,0.000521206,0.000521206
24,1380.17,0.98999,0.48056,0.86636,0.91718,0.90442,0.91613,0.65809,0.92756,0.43347,0.85155,0.000515267,0.000515267,0.000515267
25,1437.34,0.98097,0.47394,0.86595,0.92661,0.90644,0.92406,0.65862,0.92893,0.43077,0.84831,0.000509114,0.000509114,0.000509114
26,1496,0.97211,0.47183,0.86397,0.91805,0.91319,0.92892,0.67033,0.91001,0.4286,0.84773,0.00050275,0.00050275,0.00050275
27,1554.92,0.96879,0.46681,0.86389,0.92532,0.90869,0.92746,0.67376,0.90448,0.42685,0.84584,0.000496184,0.000496184,0.000496184
28,1614.14,0.96693,0.47167,0.86086,0.91695,0.90523,0.9252,0.67111,0.89888,0.4276,0.84443,0.000489421,0.000489421,0.000489421
29,1671.41,0.96614,0.4672,0.86177,0.92431,0.90801,0.93177,0.6765,0.90825,0.41975,0.843,0.000482469,0.000482469,0.000482469
30,1729.25,0.9619,0.46133,0.86193,0.91501,0.89539,0.91364,0.67104,0.90147,0.42291,0.84446,0.000475333,0.000475333,0.000475333
