timestamp_ms,ax,ay,az,gx,gy,gz
0,1780993661,-8.722100257873535,-1.6304999589920044,2.592900037765503,0.04960000142455101,0.05999999865889549,-0.02879999950528145
10,1780993661,-8.71969985961914,-1.6304999589920044,2.5738000869750977,0.05810000002384186,0.026399999856948853,-0.0340999998152256
20,1780993661,-8.73169994354248,-1.6758999824523926,2.6263999938964844,0.06629999727010727,0.007499999832361937,-0.0357000008225441
30,1780993661,-8.78909969329834,-1.716599941253662,2.638400077819824,0.07940000295639038,0.002899999963119626,-0.037300001829862595
40,1780993661,-8.860899925231934,-1.6974999904632568,2.5952999591827393,0.0908999964594841,0.00930000003427267,-0.03620000183582306
50,1780993661,-8.901599884033203,-1.6783000230789185,2.5738000869750977,0.09300000220537186,0.02930000051856041,-0.02850000001490116
60,1780993661,-8.925600051879883,-1.6615999937057495,2.5139000415802,0.08420000225305557,0.05920000001788139,-0.0210999995470047
70,1780993661,-8.944700241088867,-1.5968999862670898,2.444499969482422,0.0681999996304512,0.0892999991774559,-0.00559999980032444
80,1780993661,-8.896900177001953,-1.5609999895095825,2.3606998920440674,0.04580000042915344,0.10920000076293945,0.00800000037997961
90,1780993661,-8.77239990234375,-1.5347000360488892,2.346299886703491,0.01679999940097332,0.11379999667406082,0.019999999552965164
100,1780993661,-8.698100090026855,-1.5585999488830566,2.2983999252319336,-0.018699999898672104,0.1039000004529953,0.022099999710917473
110,1780993661,-8.700499534606934,-1.5921000242233276,2.315200090408325,-0.05040000006556511,0.08100000023841858,0.018699999898672104
120,1780993661,-8.765199661254883,-1.6783000230789185,2.4421000480651855,-0.0575999990105629,0.050599999725818634,0.006399999838322401
130,1780993661,-8.836999893188477,-1.6806999444961548,2.5546000003814697,-0.04479999840259552,0.007499999832361937,-0.00989999994635582
140,1780993661,-8.8681001663208,-1.62090003490448,2.5833001136779785,-0.01730000041425228,-0.03060000017285347,-0.013100000098347664
150,1780993661,-8.865699768066406,-1.594499945640564,2.5211000442504883,0.011500000022351742,-0.04529999941587448,-0.01119999960064888
160,1780993661,-8.796299934387207,-1.5657999515533447,2.437299966812134,0.02930000051856041,-0.028999999165534973,-0.010400000028312206
170,1780993661,-8.796299934387207,-1.601699948310852,2.3798000812530518,0.02449999935925007,0.00800000037997961,-0.010900000110268593
180,1780993661,-8.762800216674805,-1.5993000268936157,2.269700050354004,-0.0010999999940395355,0.04450000077486038,-0.012799999676644802
190,1780993661,-8.762800216674805,-1.587399959564209,2.2051000595092773,-0.04529999941587448,0.07349999994039536,-0.005900000222027302
200,1780993661,-8.786700248718262,-1.6447999477386475,2.2290000915527344,-0.09700000286102295,0.08470000326633453,0.0003000000142492354
210,1780993661,-8.815500259399414,-1.7333999872207642,2.2864999771118164,-0.15109999477863312,0.08179999887943268,-0.004800000227987766
220,1780993661,-8.906399726867676,-1.826799988746643,2.4110000133514404,-0.1987999975681305,0.05460000038146973,-0.016300000250339508
230,1780993661,-9.006999969482422,-1.8626999855041504,2.5738000869750977,-0.23240000009536743,0.012500000186264515,-0.021299999207258224
240,1780993661,-9.069199562072754,-1.910599946975708,2.7772998809814453,-0.25099998712539673,-0.0364999994635582,-0.012500000186264515
250,1780993661,-9.107500076293945,-2.020699977874756,2.997499942779541,-0.25529998540878296,-0.08259999752044678,-0.0007999999797903001
260,1780993661,-9.086000442504883,-2.13319993019104,3.2416999340057373,-0.27149999141693115,-0.11779999732971191,0.013899999670684338
270,1780993661,-9.040499687194824,-2.262500047683716,3.550600051879883,-0.3122999966144562,-0.14659999310970306,0.044199999421834946
280,1780993661,-9.023699760437012,-2.6024999618530273,4.074900150299072,-0.39089998602867126,-0.1574999988079071,0.10689999908208847
290,1780993661,-8.978300094604492,-3.16510009765625,4.9415998458862305,-0.5523999929428101,-0.11670000106096268,0.23639999330043793
300,1780993661,-8.542499542236328,-3.981600046157837,6.291999816894531,-0.8338000178337097,0.05999999865889549,0.40639999508857727
310,1780993661,-7.960700035095215,-4.812300205230713,7.843400001525879,-1.1748000383377075,0.4729999899864197,0.5128999948501587
320,1780993661,-7.67579984664917,-5.628799915313721,9.871299743652344,-1.472499966621399,1.0292999744415283,0.567799985408783
330,1780993661,-7.505799770355225,-6.095600128173828,12.279899597167969,-1.5422999858856201,1.6633000373840332,0.5896999835968018
340,1780993661,-7.532199859619141,-6.3231000900268555,14.743499755859375,-1.2000999450683594,2.329900026321411,0.6254000067710876
350,1780993661,-7.68779993057251,-6.313499927520752,17.384300231933594,-0.40880000591278076,2.721400022506714,0.7247999906539917
360,1780993661,-7.520199775695801,-6.567299842834473,19.376300811767578,0.7297999858856201,2.884700059890747,0.8417999744415283
370,1780993661,-6.773200035095215,-7.134699821472168,20.733800888061523,2.139699935913086,2.7983999252319336,0.9093999862670898
380,1780993661,-6.332699775695801,-7.9583001136779785,22.689800262451172,3.7750000953674316,2.6740000247955322,0.9172000288963318
390,1780993661,-5.06850004196167,-8.777099609375,24.226900100708008,5.72629976272583,2.622499942779541,0.8536999821662903
400,1780993661,-3.440500020980835,-10.53689956665039,24.595600128173828,7.9899001121521,2.983299970626831,0.578000009059906
410,1780993661,-1.618499994277954,-13.127400398254395,24.00909996032715,8.731200218200684,3.7678000926971436,0.13830000162124634
420,1780993661,0.21789999306201935,-16.86479949951172,21.681900024414062,8.731200218200684,4.865900039672852,-0.366100013256073
430,1780993661,1.7836999893188477,-21.890199661254883,18.282100677490234,8.731200218200684,5.835299968719482,-0.7689999938011169
440,1780993661,2.300800085067749,-26.362600326538086,14.937399864196777,8.731200218200684,6.299699783325195,-0.9333999752998352
450,1780993661,1.927299976348877,-29.846099853515625,11.470600128173828,8.731200218200684,5.940999984741211,-0.8159000277519226
460,1780993661,2.1356000900268555,-32.09429931640625,6.964700222015381,8.731200218200684,4.926599979400635,-0.649399995803833
470,1780993661,1.819599986076355,-33.63140106201172,2.7653000354766846,8.731200218200684,3.6006999015808105,-0.5371999740600586
480,1780993661,1.312000036239624,-34.464500427246094,-0.8212000131607056,8.731200218200684,2.3917999267578125,-0.4763999879360199
